"","cowcode","year","expend_security_EXP","expenddefence_EXP","exp_public_order_EXP","wagessalaries_EXP","pensions_EXP","total_welfare_EXP","education_EXP","health_EXP","social_protection_EXP","housing_EXP","owelfarespend_EXP"
"219",51,1968,0.0649422109127045,NA,NA,NA,0.0275178868323565,0.380297183990479,0.168409466743469,0.0990643948316574,NA,NA,0.112823337316513
"220",51,1969,NA,NA,NA,0.181726902723312,NA,0.0803212821483612,0.0803212821483612,NA,NA,NA,NA
"221",51,1970,NA,NA,NA,0.226804122328758,NA,0.0793021395802498,0.0793021395802498,NA,NA,NA,NA
"222",51,1971,NA,NA,NA,0.229082316160202,NA,0.0937921702861786,0.0937921702861786,NA,NA,NA,NA
"223",51,1972,NA,NA,NA,0.234083965420723,NA,0.0934111773967743,0.0934111773967743,NA,NA,NA,NA
"224",51,1973,NA,NA,NA,0.245240762829781,NA,0.121612541377544,0.121612541377544,NA,NA,NA,NA
"225",51,1974,NA,NA,NA,0.198522239923477,NA,0.119336403906345,0.119336403906345,NA,NA,NA,NA
"226",51,1975,NA,NA,NA,0.189370155334473,NA,0.109227873384953,0.109227873384953,NA,NA,NA,NA
"227",51,1976,NA,NA,NA,0.196390017867088,NA,0.137144833803177,0.137144833803177,NA,NA,NA,NA
"228",51,1977,NA,NA,NA,0.201506122946739,NA,0.137785494327545,0.137785494327545,NA,NA,NA,NA
"229",51,1978,NA,NA,NA,0.329173564910889,0.0138163762167096,NA,NA,NA,NA,NA,NA
"230",51,1979,NA,NA,NA,0.35073909163475,0.0130392983555794,NA,NA,NA,NA,NA,NA
"231",51,1980,NA,NA,NA,0.337866574525833,0.0121161164715886,NA,NA,NA,NA,NA,NA
"232",51,1981,NA,NA,NA,0.312936097383499,0.0110796298831701,NA,NA,NA,NA,NA,NA
"233",51,1982,NA,NA,NA,0.324930608272552,0.00828707963228226,NA,NA,NA,NA,NA,NA
"234",51,1983,NA,NA,NA,0.323303252458572,0.0106987627223134,NA,NA,NA,NA,NA,NA
"235",51,1984,NA,NA,NA,0.321410357952118,0.014391508884728,NA,NA,NA,NA,NA,NA
"236",51,1985,NA,NA,NA,0.275292336940765,0.0152516523376107,NA,NA,NA,NA,NA,NA
"237",51,1986,NA,NA,NA,0.2669717669487,0.0144080007448792,NA,NA,NA,NA,NA,NA
"238",51,1987,NA,NA,NA,0.242407739162445,0.0130697600543499,NA,NA,NA,NA,NA,NA
"239",51,1988,NA,NA,NA,0.322345376014709,0.0138564761728048,NA,NA,NA,NA,NA,NA
"240",51,1989,NA,NA,NA,0.331151723861694,0.0135850431397557,NA,NA,NA,NA,NA,NA
"241",51,1990,NA,NA,NA,0.323180794715881,0.015155284665525,NA,NA,NA,NA,NA,NA
"242",51,1991,NA,NA,NA,0.298509746789932,0.0135197415947914,NA,NA,NA,NA,NA,NA
"243",51,1992,NA,NA,NA,0.190658420324326,0.0132960453629494,NA,NA,NA,NA,NA,NA
"244",51,1993,NA,NA,NA,0.343200981616974,0.016334967687726,NA,NA,NA,NA,NA,NA
"245",51,1994,NA,NA,NA,0.27995377779007,0.0243197754025459,NA,NA,NA,NA,NA,NA
"246",51,1995,NA,NA,NA,0.288862884044647,0.0223326869308949,NA,NA,NA,NA,NA,NA
"247",51,1996,NA,NA,NA,0.315181612968445,NA,NA,NA,NA,NA,NA,NA
"248",51,1997,NA,NA,NA,0.33645486831665,NA,NA,NA,NA,NA,NA,NA
"249",51,1998,NA,NA,NA,0.342168182134628,NA,NA,NA,NA,NA,NA,NA
"250",51,1999,NA,NA,NA,0.309816598892212,NA,NA,NA,NA,NA,NA,NA
"251",51,2000,NA,NA,NA,0.3375603556633,NA,NA,NA,NA,NA,NA,NA
"252",51,2001,NA,NA,NA,0.344028681516647,NA,NA,NA,NA,NA,NA,NA
"253",51,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",51,2003,NA,NA,NA,0.33931577205658,NA,NA,NA,NA,NA,NA,NA
"255",51,2004,NA,NA,NA,0.319416493177414,NA,NA,NA,NA,NA,NA,NA
"256",51,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",51,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",52,1962,NA,NA,NA,0.253787875175476,0.0440340898931026,NA,NA,NA,NA,NA,NA
"259",52,1963,NA,NA,NA,0.300263375043869,0.0434591732919216,NA,NA,NA,NA,NA,NA
"260",52,1964,NA,NA,NA,0.273493975400925,0.0473895594477654,NA,NA,NA,NA,NA,NA
"261",52,1965,NA,NA,NA,0.284733444452286,0.0500807762145996,NA,NA,NA,NA,NA,NA
"262",52,1966,0.0719969719648361,NA,NA,0.316786646842957,NA,0.246684357523918,0.162940502166748,0.0837438404560089,NA,NA,NA
"263",52,1967,0.0745434239506721,NA,NA,0.331718236207962,NA,0.249347746372223,0.167722702026367,0.0816250443458557,NA,NA,NA
